cliente_id,nombre,genero,fecha_nacimiento,fecha_registro,ciudad
1,Flavio Fajardo Amaya,F,1971-01-14,2005-04-01,Madrid
2,Eric Rosa Gonzalez,M,1977-06-21,2014-03-18,Barcelona
3,Hermenegildo Mir Zamorano,M,1987-11-21,2008-04-20,Valladolid
4,Joaquín Carrasco Rovira,F,2001-12-23,2005-08-22,Alicante
5,Cayetano Escrivá Aramburu,M,1950-05-01,2015-08-19,Alicante
6,Clarisa Bautista Blázquez,M,1955-03-29,2003-05-17,Hospitalet
7,Marta de Ayuso,F,1963-10-06,2009-08-11,Palma
8,Desiderio Sobrino Giménez,M,1976-03-13,2006-01-10,Vigo
9,Nydia Batalla Castells,F,1988-12-25,2008-03-10,Valencia
10,Benita Méndez Pou,M,1989-12-08,2017-03-08,Valencia
11,Jonatan Eleuterio Quintanilla Giménez,F,1968-05-06,2010-01-07,Hospitalet
12,Iker Barón Estévez,M,1961-05-03,2009-06-21,Gijón
13,Eric Benítez Gimenez,F,1990-07-06,2015-02-27,Murcia
14,Lisandro Hernández Ríos,F,2000-11-25,2019-09-11,Madrid
15,Angelina Matas,M,1980-06-26,2000-05-03,Valencia
16,Beatriz del Piña,F,1976-09-23,2019-07-31,Sevilla
17,Edmundo Rosales,F,1955-09-18,2004-09-17,Barcelona
18,Adrián Sala Perelló,M,1960-12-28,2018-08-28,Córdoba
19,Nerea Pérez,M,1958-07-01,2008-04-08,Valencia
20,Marco Ferrer,F,1983-02-24,2020-07-09,Barcelona
21,Sonia Sabina Leal Pazos,M,1969-10-15,1999-12-12,Barcelona
22,Candelas Emiliana Somoza Manrique,M,1952-03-24,2020-09-23,Barcelona
23,Pedro Lillo Pinedo,F,1989-09-07,2017-03-13,Barcelona
24,Almudena Salcedo Alcalde,M,1974-08-19,2016-02-20,Vigo
25,Juan Carlos Navas Coloma,F,1970-08-27,2004-06-18,Barcelona
26,Leandro Ledesma Villalobos,F,1956-08-26,2020-07-18,Zaragoza
27,Fernando Vicens,M,1960-12-24,2019-10-23,Málaga
28,Gastón Buendía-Uriarte,F,1963-10-19,2019-07-25,Alicante
29,Elodia Cabello Zamorano,M,1975-01-20,2009-11-06,Madrid
30,Ariel Escudero Manzanares,M,2002-07-27,2000-06-19,Murcia
31,Florencia Amores,M,1954-04-05,2023-12-05,Córdoba
32,Ildefonso del Amador,F,1953-03-31,2011-05-11,Gijón
33,Adriana Vallés Morcillo,F,1982-04-23,2019-05-31,Gijón
34,Adoración Bravo-Alsina,M,1987-01-06,2002-12-01,Valladolid
35,Asunción Palmira Vall Barberá,M,1988-01-11,2000-01-19,Vigo
36,Ema Falcón,F,1991-02-24,2001-08-06,Valladolid
37,Trini Gras Jiménez,M,1959-10-31,2018-08-06,Córdoba
38,Yéssica Blanch-Puente,F,1980-12-10,2017-04-18,Palma
39,Tatiana Valencia Quiroga,F,1993-02-14,2019-11-21,Valencia
40,Apolinar Piña Ropero,M,1989-12-01,2007-05-07,Vigo
